USER,INTENT,Slot-Value,Value,B-I-O Tag
I just want my regular fit size phone that can fit in my pocket,Feedback,NA,NA,O O O O O O O O O O O O O O
"Lovely, What is its color?",Request,NA,NA,O O O O B-Color
What is its price?,Request,NA,NA,O O O B-Cost
"Lovely, kindly book it for me",BookingReq,NA,NA,O O O O O O
Thanks a lot,Close,NA,NA,O O O
930,,,,
"Hi, I am here to buy a phone.",PhoneSelReq,NA,NA,O O O O O O O O
I want to buy a best camera phone with radio and GPS features in it,Inform,"Radio-Y, P_Camera-Good, S_Camera-Good, GPS-Y","Y, High, HighY",O O O O O O B-camera O O B-Radio O B-GPS O O O
What is its price?,Request,NA,NA,O O O B-Cost
What is its storage?,Request,NA,NA,O O O B-Storage
"Oh, that seems little less. I want a GPS operated phone with at least 6 GB RAM",Inform,RAM-6,6,O O O O O O O O B-GPS O O O O O B-RAM O O
I feel more RAM means more smartphone performance.,Feedback,NA,NA,O O O B-RAM O O O O
"Perfect, please book it",BookingReq,NA,NA,O O O O
Thanks for helping me.,Close,NA,NA,O O O O
931,,,,
"Hello, show me a new phone.",PhoneSelReq,NA,NA,O O O O O O
"Yes, I need 2017 released phone and cost to be around 250",Inform,"ReleaseDate-2017, Cost-250-","2017, 250-",O O O B-ReleaseDate O O O O O O O B-Cost
What is its battery?,Request,NA,NA,O O O B-Battery
Oh it's less compared to my last phone. My most of the work is on phone so need solid battery,Inform,Battery-Good,High,O O O O O O O O O O O O O O O O O O O B-Battery
Solid battery is very much needed for my work,Feedback,NA,NA,O B-Battery O O O O O O O
What is its cost?,Request,NA,NA,O O O B-Cost
ok can you book it for me?,BookingReq,NA,NA,O O O O O O O
Thanks a lot for your time,Close,NA,NA,O O O O O O
932,,,,
"Hi, I want to buy a phone.",PhoneSelReq,NA,NA,O O O O O O O
I want a good phone with battery more than 4000 mAH.,Inform,Battery-4000+,4000+,O O O O O O O  O O B-Battery O
Is it so?,FeedbackReq,NA,NA,O O O
"I don't want this, I want Xiaomi phone. I trust this brand.",Reject,Model-Xiaomi,Xiaomi,O O O O O O B-Brand O O O O O
okay it looks good.,Feedback,NA,NA,O O O O
Ok please book it.,BookingReq,NA,NA,O O O O
Thanks a lot for your time.,Close,NA,NA,O O O O O O
933,,,,
I am in urgent need of a good phone. Can you suggest any?,PhoneSelReq,NA,NA,O O O O O O O O O O O O O
I want to buy gray color Gionee phone.,Inform,"Model-Gionee, Color-Gray","Gionee, Gray",O O O O B-Colour O B-Brand O
What is its battery?,Request,NA,NA,O O O B-Battery
Oh it is little less. Show me a phone with battery around 4500 mAH,Inform,Battery-4500+,4500+,O O O O O O O O O O  O O B-Battery O
My previous phone had less battery. I had trouble charging it again n again. Suggest me something better.,Feedback,NA,NA,O O O O O B-Battery O O O O O O O O O O O O
What color is it available?,Request,NA,NA,O B-Color O O O
What is its price?,Request,NA,NA,O O O B-Cost
"Okay, I will buy it then.",BookingReq,NA,NA,O O O O O O
Thanks a lot for your help.,Close,NA,NA,O O O O O O
934,,,,
Good Evening. Show me a good phone,PhoneSelReq,NA,NA,O O O O O O O
I trust Huawei brand only.,Inform,Brand-Huawei,Huawei,O O B-Brand O O
I want to buy good camera phone with medium display size.,Inform,"P_Camera-Good, S_Camera-Good, Display-Medium","High, High, Medium",O O O O O B-Camera O O O B-Display O
Can you tell me more about it?,Request,NA,NA,O O O O O O O
I don't want Android phone. I want Mic phone.,Inform,OS-Mic,Mic,O O O B-OS O O O B-Brand O
Ok book this one for me.,BookingReq,NA,NA,O O O O O O
Thanks for helping me.,Close,NA,NA,O O O O
935,,,,
"Hello , I want a nice looking phone for my wife.",PhoneSelReq,NA,NA,O O O O O O O O O O O
I want to buy a Oppo phone with good camera.,Inform,"Brand-Oppo, P_Camera-Good, S_Camera-Good","Oppo, High, High",O O O O O B-Brand O O O B-Camera
I don't have much money to spend on phone. My budget is around 200,Inform,Cost-200-,200-,O O O O O O O O O O O O O B-Cost
What is its Display Size?,Request,NA,NA,O O O B-Display O
Og it is way too small. My wife will not like it. Show me a phone with medium Display Size.,Inform,Display-Medium,Medium,O O O O O O O O O O O O O O O O O O B-Display O
Medium size phone is also easy to carry and good enough for watching movies too.,Feedback,NA,NA,O O O O O O O O O O O O O O O
How much is it for?,Request,NA,NA,O B-Cost O O O
"Perfect, I will take it. Kindly gift wrap it.",BookingReq,NA,NA,O O O O O O O O O
Thanks a ton,Close,NA,NA,O O O
936,,,,
I want to buy a phone. Which one should I buy?,PhoneSelReq,NA,NA,O O O O O O O O O O O
Show me a good camera phone with less weight,Inform,"P_Camera-Good, S_Camera-Good, Weight-Lightweight","High, High, Lightweight",O O O O B-Camera O O O B-Weight
what is its battery?,Request,NA,NA,O O O B-Battery
It is less. I need better battery phone,Inform,Battery-Good,High,O O O O O O B-Battery O
Most of the time I am on Phone so need high quality battery phone,Feedback,NA,NA,O O O O O O O O O O O O B-Battery O
Ok book it for me,BookingReq,NA,NA,O O O O O
Thanks a lot for your time,Close,NA,NA,O O O O O O
937,,,,
Hello. I want the buy the best phone available in the market.,PhoneSelReq,NA,NA,O O O O O O O O O O O O
I want recent released 64 GB storage phone.,Inform,"ReleaseDate-Recent, RAM-64","Recent, 64",O O O B- Released O B-Storage O O O
Oneplus is the best brand. Show me its best product.,Inform,Brand-OnePlus,OnePlus,B-Brand O O O O O O O O O
What is its OS?,Request,NA,NA,O O O B-OS
"Oh, I want Sym phone. I don't want android phone .",Inform,OS-Sym,Sym,O O O B-OS O O O O B-OS O
What is its color?,Request,NA,NA,O O O B-Color
"Okay, bok this phone for me.",BookingReq,NA,NA,O O O O O O
No. Thanks a lot.,Close,NA,NA,O O O O
938,,,,
"Hello, I want to purchase a phone which has been reviewed good by many.",PhoneSelReq,NA,NA,O O O O O O O O O O O O O O
I want a phone in which both GPS and Radio.,Inform,"Radio-Y, GPS-Y","Y, Y",O O O O O O O B-GPS O B-Radio
What is its storage storage?,Request,NA,NA,O O O B-Storage
I want a phone with more storage.,Inform,RAM-Good,High,O O O O O O B-Storage
I need something with bigger RAM.,Feedback,NA,NA,O O O O O B-RAM
what is its cost?,Request,NA,NA,O O O B-Cost
Book it for me.,BookingReq,NA,NA,O O O O
Thanks,Close,NA,NA,Thanks
939,,,,
"Hi, I need a phone info based on performance, features and reviews.",PhoneSelReq,NA,NA,O O O O O O O O O O O O
I would explore a Sony phones.,Inform,Brand-Sony,Sony,O O O O B-Brand O
What is its released year?,Request,NA,NA,O O O B-Released year O
"Oh, show me any latest phone.",Inform,ReleaseDate-Latest,Latest,O O O O B-Released O
I would prefer latest phone as they get updated version for better performance.,Feedback,NA,NA,O O O O O O O O O O O O O
What is its cost?,Request,NA,NA,O O O B-Cost
What is its color?,Request,NA,NA,O O O B-Color
"Fine, I will take it.",BookingReq,NA,NA,O O O O O
Thanks a ton.,Close,NA,NA,O O O
940,,,,
"Good Evening, I want to buy a smartphone.",PhoneSelReq,NA,NA,O O O O O O O O
I want a phone that offers a great battery life and a great display quality too.,Inform,"Battery-Good, Display-Big","High, Big",O O O O O O O O B-Battery O O O O B-Display O O
What is its battery?,Request,NA,NA,O O O B-Battery
What is its price?,Request,NA,NA,O O O B-Cost
Sorry that's little pricey. My budget is lttle less somewhere around 500 Euro,Inform,Cost-500-,500-,O O O O O O O O O O O B-Cost O
I have limited budget so can't buy this,Feedback,NA,NA,O O O B-Cost O O O O
What is its OS?,Request,NA,NA,O O O B-OS
Can you please book it for me.,BookingReq,NA,NA,O O O O O O O
Thanks a lot.,Close,NA,NA,O O O
941,,,,
Good Evening. Can you help me in buying a right phone.,PhoneSelReq,NA,NA,O O O O O O O O O O O
I need to have a Vertu phone that has high memory and light weight.,Inform,"Brand-Vertu, RAM-Good, Weight-Lightweight","Vertu, High, Lightweight",O O O O O B-Brand O O O O B-RAM O O B-Weight
What is its color? I need it to look good.,Request,NA,NA,O O O B-Color O O O O O O
What is its primary camera?,Request,NA,NA,O O O O B-Camera
Can you someting with better camera?,Inform,P_Camera-Dual,Dual,O O O O O B-Camera
What is its price?,Request,NA,NA,O O O B-Cost
"Okay, I am taking this phone",BookingReq,NA,NA,O O O O O O
Thank you.,Close,NA,NA,O O
942,,,,
"Hey, I need a phone to buy.",PhoneSelReq,NA,NA,O O O O O O O
I want a 2016 released year phone under 250 Euro.,Inform,"ReleaseDate-2016, Cost-250-","2016, 250-",O O O B-ReleaseDate O O O O B-Cost O
What is its secondary camera quality?,Request,NA,NA,O O O O B-Camera O
That is too less. I want 13 MP for secondary camera. I do a lot of photography.,Inform,S_Camera-13,13,O O O O O O B-Resolution O O O O O O O O O O
I believe higher megapixel camera phones can take better pictures.,Feedback,NA,NA,O O O O B-Resolution O O O O O
What is its cost?,Request,NA,NA,O O O B-Cost
This is a good option. Thanks for showing me this.,Gratitude,NA,NA,O O O O O O O O O O
Yes please.,BookingReq,NA,NA,O O
No. Thank you so much.,Close,NA,NA,O O O O O
943,,,,
I want to buy a good phone,PhoneSelReq,NA,NA,O O O O O O O
I want to buy HP phone with radio facility,Inform,"Brand-HP, Radio-Y","HP, Y",O O O O B-Brand O O B-Radio O
I also want a dualsim phone.,Inform,Sim-Dual,Dual,O O O O B-Sim O
What is its OS?,Request,NA,NA,O O O B-Os
But I want Mic phone. I don't want android.,Inform,OS-Mic,Mic,O O O OB-Brand O O O O B-Os
Mic phones have good reviews.,Feedback,NA,NA,O O O O O
In what color is it available?,Request,NA,NA,O O B-Color O O O
"Okay, I will buy this phone.",BookingReq,NA,NA,O O O O O O
Thanks a lot.,Close,NA,NA,O O O
944,,,,
"Hi, I need a good phone.",PhoneSelReq,NA,NA,O O O O O O
I am looking for a Samsung mobile. They make decent phones.,Inform,Brand-Samsung,Samsung,O O O O O B-Brand O O O O O
I have heard about Galaxy S8+.,,NA,NA,O O O O B-Brand O
What is its price?,Request,NA,NA,O O O B-Cost
Oh! it is way too expensive. Show me someting that will cost less.,Inform,Cost-Less,Less,O O O O O O O O O O O B-Cost O
I can't afford it. Show me less expensive phone,Feedback,NA,NA,O O O O O O O O O
"Lovely, what is its cost?",Request,NA,NA,O O O O B-Cost
Book it for me.,BookingReq,NA,NA,O O O O
No. Thanks for now.,Close,NA,NA,O O O O
945,,,,
"Hi, I want a phone.",PhoneSelReq,NA,NA,O O O O O
I want to buy a apple phone with good camera.,Inform,"Brand-Apple, P_Camera-Good, S_Camera-Good","Apple, High, High",O O O O O B-Brand O O O B-Camera
What is its camera quality?,Request,NA,NA,O O O B-Camera O
"Oh, I want dual camera phone",Inform,P_Camera-Dual,Dual,O O O B-Camera O
"Cool, what is its memory?",Request,NA,NA,O O O O B-RAM
What is its cost?,Request,NA,NA,O O O B-Cost
"Cool, I will purchase it.",BookingReq,NA,NA,O O O O O
Thanks a lot,Close,NA,NA,O O O
946,,,,
"Good Evening, I am looking for best smartphone",PhoneSelReq,NA,NA,O O O O O O O O
"Nothing in Particular, I want a latest released phone in which GPS works.",Inform,"ReleaseDate-2017, GPS-Y","2017, Y",O O O O O O O B-Released date O O O B-GPS O
Oh I don't want Coolpad brand phone. I would prefer in Samsung.,Inform,Brand-Non Coolpad,Non Coolpad,O O O O B-Brand O O O O O O B-Brand
I am not comfortable using this brand so would go for some other.,Feedback,NA,NA,O O O O O O O O O O O O O
What is its price?,Request,NA,NA,O O O B-Cost
What is its battery capacity?,Request,NA,NA,O O O B-Battery O
"Okay , I think I will buy it.",BookingReq,NA,NA,O O O O O O O O
Thanks a lot for helping me in choosing a good phone,Close,NA,NA,O O O O O O O O O O O
947,,,,
I want a technologically advanced mobile phone,PhoneSelReq,NA,NA,O O O O O O O
I want an alcatel phone with good battery.,Inform,"Brand-Alcatel, Battery-Good","Alcatel, High",O O O B-Brand O O O B-Battery
It should be under 250.,Inform,Cost-250-,250-,O O O O B-Cost
What is its storage? I really need good storage phone.,Request,NA,NA,O O O B-Storage O O O O O
That will not fulfill my need. I need a phone with more space at least good memory.,Inform,"RAM-Good, RAM-Good","High, High",O O O O O O O O O O O O O  O O O B-RAM
"But I don't want to use memory slot as it can be subject to electronic corruption, leading to unreadable card.",Feedback,NA,NA,O O O O O O O O O O O O O O O O O O O O
What is its price?,Request,NA,NA,O O O B-Cost
Will you booki it for me?,BookingReq,NA,NA,O O O O O O
Thanks a lot for your help.,Close,NA,NA,O O O O O O
948,,,,
"Hello , I want to buy a phone for my grandson.",PhoneSelReq,NA,NA,O O O O O O O O O O O
"Yes, he need a GPS operated phone with small display size .",Inform,"GPS-Y, Display-Small","Y, Small",O O O O B-GPS O O O O O B-Display O
What is the price?,Request,NA,NA,O O O B-Cost
whats is its battery?,Request,NA,NA,O O O B-Battery
Battery is not enough for him.,Feedback,Battery-Good,High,B-Battery O O O O O
"Okay, can you please book it for me.",BookingReq,NA,NA,O O O O O O O O
Thank you.,Close,NA,NA,O O
949,,,,
"Hey, I need phone. Will you assist me for that?",PhoneSelReq,NA,NA,O O O O O O O O O O
It should be Gionee company with less weight.,Inform,"Brand-Gionee, Weight-Lightweight","Gionee, Lightweight",O O O B-Brand O O B-Weight O
Its color should be white.,Inform,Color-White,White,O O O O B-Color
What is its Released Year?,Request,NA,NA,O O O B-Released year O
"Oh, but I want 2017 released phone",Inform,ReleaseDate-2017,2017,O O O O B-ReleaseDate O O
But I want a new released phone with good camera and battery,Feedback,NA,NA,O O O O O O O O O B-Camera O B-Battery
"Ok , can you please book it for me",BookingReq,NA,NA,O O O O O O O O O
"OK, Thanks for information.",Close,NA,NA,O O O O
950,,,,
"Good Morning, I want to buy a phone?",PhoneSelReq,NA,NA,O O O O O O O O
Brand should be Oppo.,Inform,Brand-Oppo,Oppo,O O O O
It should have good secondary camera and battery capacity,Inform,"S_Camera-Good, Battery-Good","High, High",O O O O O O O B-Battery O
What is its price?,Request,Cost-UNK,UNK,O O O B-Cost
what is it's color?,Request,Colour-UNK,UNK,O O O O
"oh , is it possible in gold?",Reject,Color-Gold,Gold,O O O O O O O
"Ok, can you book it for me?",BookingReq,NA,NA,O O O O O O O
Thanks for help,Close,NA,NA,O O O
951,,,,
"Hi, can you please help me in selecting a phone?",PhoneSelReq,NA,NA,O O O O O O O O O O
Radio should work on it and it should have big display size and high memory.,Inform,"Radio-Y, Display-Big, RAM-High","Y, Big, High, High",B-Radio O O O O O O O O O O O O O O
It should be of Samsung,Inform,Brand-Samsung,Samsung,O O O O B-Brand
What is its weight?,Request,Weight-UNK,UNK,O O O B-Weight
oh that's a bit heavy. I want thin lightweight cellphone,Reject,Weight-Lightweight,Lightweight,O O O O O O O O O O
I feel heavy phones are not portable,Feedback,NA,NA,O O O O O O O
How much it cost?,Request,Cost-UNK,Cost-UNK,O O O B-Cost
"Ok, book it for me.",BookingReq,NA,NA,O O O O O
Thank you,Close,NA,NA,O O
952,,,,
"Hello, I want to purchase a phone?",PhoneSelReq,NA,NA,O O O O O O O
I want to buy a black color multisim Mic phone,Inform,"Color-Black, SIM-Multi, OS-Mic","Black, Multi, Mic",O O O O O B-Colour O O O O
I can't spend more so price should not be more than 150 Euro,Inform,Cost-150-,150-,O O O O O O O O O O O B-Cost O
What is its storage storage?,Request,NA,NA,O O O O O
"Oh, that is too less, I want a phone of 16 GB storage",Reject,RAM-8,8,O O O O O O O O O O O O O
I need a phone with high storage,Feedback,Storage-UNK,UNK,O O O O O O O
What is its price?,Request,Cost-UNK,UNK,O O O B-Cost
"Perfect, I will buy it.",BookingReq,NA,NA,O O O O O
Thanks a ton,Close,NA,NA,O O O
953,,,,
"Hi, I want to buy a cellphone for my daughter",PhoneSelReq,NA,NA,O O O O O O O O O O
"Yes, apple phone with good battery and storage.",Inform,"Brand-Apple, Battery-Good, RAM-Good, RAM-Good","Apple, High, High, High",O B-Brand O O O B-Battery O O
What is its color?,Request,Color-UNK,UNK,O O O O
"No, actually she doesn't want this color phone. Is it possible in blue color?",Reject,Color-Blue,Blue,O O O O O O O O O O O O B-Colour O
What is its cost?,Request,Cost-UNK,UNK,O O O B-Cost
"Ok, book this one for me.",BookingReq,NA,NA,O O O O O O
Thanks for helping me.,Close,NA,NA,O O O O
954,,,,
"Hello, I want an amazing mobile as I constantly work on phone",PhoneSelReq,NA,NA,O O O O O O O O O O O O
"GPS should work on it, Battery should lasts long and display size should be big.",Inform,"GPS-Y, Battery-Good, Display-Big","Y, High, Big",B-GPS O O O O B-Battery O O O O O O O O O
What is its cost?,Request,NA,NA,O O O B-Cost
Oh that's not in my budget. Show me a phone around 280 Euro,Reject,Cost-280-,280-,O O O O O O O O O O O O O
I have limited budget.,Reject,NA,NA,O O O O
What is its color?,Request,Colour-UNK,UNK,O O O O
Please book it for me.,BookingReq,NA,NA,O O O O O
Thannks a ton.,Close,NA,NA,O O O
955,,,,
"Hey, I need a phone.",PhoneSelReq,NA,NA,O O O O O
It should be of HP brand.,Inform,Brand-HP,HP,O O O O B-Brand O
